# https://www.inforoutefpt.org/formation-technique/diplome-etudes-collegiales
420.B0;0000;Traiter l’information relative aux réalités du milieu du travail en informatique
420.B0;00Q1;Effectuer l’installation et la gestion d’ordinateurs
420.B0;00Q2;Utiliser des langages de programmation
420.B0;00Q3;Résoudre des problèmes d’informatique avec les mathématiques
420.B0;00Q4;Exploiter des logiciels de bureautique
420.B0;00Q5;Effectuer le déploiement d’un réseau informatique local
420.B0;00Q6;Exploiter les principes de la programmation orientée objet
420.B0;00Q7;Exploiter un système de gestion de base de données
420.B0;00Q8;Effectuer des opérations de prévention en matière de sécurité de l’information
420.B0;00SE;Interagir dans un contexte professionnel
420.B0;00SF;Évaluer des composants logiciels et matériels
420.B0;00SG;Fournir du soutien informatique aux utilisatrices et utilisateurs
420.B0;00SH;S’adapter à des technologies informatiques
420.B0;00SJ;Effectuer le déploiement de serveurs intranet
420.B0;00SK;Effectuer le déploiement de serveurs Internet
420.B0;00SL;Effectuer le déploiement de serveurs de base de données
420.B0;00SM;Effectuer le déploiement de dispositifs d’interconnexion de réseaux informatiques
420.B0;00SN;Automatiser des tâches de gestion de réseaux informatiques
420.B0;00SP;Assurer la surveillance de réseaux informatiques
420.B0;00SQ;Collaborer à la conception d’un réseau informatique
420.B0;00SR;Effectuer le développement d’applications natives sans base de données
420.B0;00SS;Effectuer le développement d’applications natives avec base de données
420.B0;00ST;Effectuer le développement d’applications Web non transactionnelles
420.B0;00SU;Effectuer le développement d’applications Web transactionnelles
420.B0;00SV;Effectuer le développement de services d’échange de données
420.B0;00SW;Effectuer le développement d’applications de jeu ou de simulation
420.B0;00SX;Effectuer le développement d’applications pour des objets connectés
420.B0;00SY;Collaborer à la conception d’applications
574.C0;02LN;Adopter un comportement professionnel
574.C0;02LP;Exploiter les technologies de l'information
574.C0;02LQ;Appliquer une stratégie de recherche et de résolution de problèmes
574.C0;02LR;Contribuer au déploiement de la direction artistique
574.C0;02LS;Collaborer à l’organisation et au déploiement du projet de production
574.C0;02LT;Animer les composants d'une scène
574.C0;02LU;Générer les images
574.C0;02LV;Traiter les images
574.C0;02LW;Modéliser les accessoires
574.C0;02LX;Reproduire les matériaux et les textures
574.C0;02LY;Produire les systèmes de contrôle
574.C0;02LZ;Mettre en scène les composants du projet
574.C0;02M0;Générer les éclairages
574.C0;02M1;Produire les effets visuels dynamiques
574.C0;02M2;Composer les images
574.C0;02M3;Participer à l’amélioration des processus de travail
574.C0;02M4;Automatiser les opérations
574.C0;02M5;Élaborer les modèles environnementaux
574.C0;02M6;Élaborer les modèles de créatures
574.C0;02M7;Élaborer les modèles de personnages
574.C0;02M8;Reconstituer les modèles
574.C0;02M9;Aménager l'espace scénique
574.C0;02MA;Scénographier l’action
574.C0;02MB;Parfaire la communication visuelle
574.C0;02MC;Élaborer les matériaux et les textures
574.C0;02MD;Agencer l'apparence des surfaces
574.C0;02ME;Perfectionner les systèmes de contrôle
574.C0;02MF;Effectuer la capture de mouvements et l’assignation de données
574.C0;02MG;Animer un personnage
574.C0;02MH;Recréer l’ingénierie des mouvements
574.C0;02MJ;Élaborer les séquences d'animation
574.C0;02MK;Reconstituer les formes et les mouvements
574.C0;02ML;Créer l'habillage des modèles
574.C0;02MM;Simuler les effets de fluides
574.C0;02MN;Simuler les effets de foule
574.C0;02MP;Créer les éclairages scéniques et narratifs
574.C0;02MQ;Reconstituer les éclairages
574.C0;02MR;Composer les images stéréoscopiques
574.C0;02MS;Incruster un sujet dans une séquence d'images
574.C0;02MT;Élaborer les décors
574.B0;0250;Analyser la fonction de travail
574.B0;0251;Exploiter les grands courants artistiques et graphiques
574.B0;0252;Analyser une production
574.B0;0253;Dessiner un personnage et son environnement
574.B0;0254;Acquérir des images
574.B0;0255;Produire une esquisse de présentation
574.B0;0256;Traiter des images numériques
574.B0;0257;Façonner un modèle
574.B0;0258;Scénographier un sujet
574.B0;0259;Concevoir des décors
574.B0;025A;Concevoir des personnages
574.B0;025B;Élaborer un scénarimage
574.B0;025C;Assembler des médias
574.B0;025D;Générer des images de synthèse
574.B0;025E;Modéliser des accessoires
574.B0;025F;Modéliser des décors
574.B0;025G;Modéliser des personnages
574.B0;025H;Représenter des mouvements en trois dimensions
574.B0;025J;Animer des personnages
574.B0;025K;Créer des effets visuels numériques
574.B0;025L;Réaliser un film d'animation en 3D
574.B0;025M;Assurer son intégration au marché du travail
570.G0;052V;Analyser des produits et des exigences de production en communication graphique
570.G0;052W;Gérer un environnement informatique
570.G0;052X;Acquérir des images
570.G0;052Y;Réaliser des images matricielles
570.G0;052Z;Réaliser des images vectorielles
570.G0;0534;Traiter des éléments typographiques
570.G0;0536;Effectuer des mises en pages simples pour des interfaces visuelles
570.G0;0539;Coordonner la réalisation d'un projet en communication graphique
570.G0;053M;Gérer une micro-entreprise en communication graphique
570.G0;053N;Exploiter des éléments de langages visuels en arts visuels et en design graphique
570.G0;053P;Créer des harmonies de couleurs
570.G0;053Q;Réaliser des designs typographiques
570.G0;053R;Créer des maquettes de présentation de pictogrammes et d'icônes
570.G0;053S;Créer des maquettes de présentation pour des documents corporatifs
570.G0;053T;Effectuer des mises en pages simples et l'impression composite de documents
570.G0;053U;Créer des maquettes de présentation pour des identités visuelles
570.G0;053V;Créer des projets d'illustration pour des communications graphiques
570.G0;053W;Créer des maquettes de présentation pour du packaging
570.G0;053X;Créer des maquettes de présentation pour des projets d'édition
570.G0;053Y;Créer des maquettes de présentation pour des projets de design cinétique
570.G0;053Z;Créer des maquettes de présentation pour des projets de campagne de publicité
570.G0;0541;Analyser la fonction de travail de graphiste
570.G0;0542;Employer des techniques de production d'idées
570.G0;0543;Traduire des concepts en esquisses
574.A0;014L;Représenter l’anatomie d’un être vivant
574.A0;014M;Représenter un sujet en perspective
574.A0;014N;Simplifier la représentation d’un sujet
574.A0;014P;Représenter les traits de personnalité d’un sujet
574.A0;014S;Rechercher et représenter des idées novatrices
574.A0;0151;Élaborer un scénarimage
574.A0;069P;Analyser les fonctions de travail
574.A0;069Q;Explorer différents types et principes de design de communication visuelle
574.A0;069R;Créer des palettes de couleurs pour des illustrations
574.A0;069S;Apprécier des illustrations et des productions en arts visuels
574.A0;069T;Acquérir des images de référence
574.A0;069U;Exploiter des techniques traditionnelles d’illustration
574.A0;069V;Réaliser des images matricielles
574.A0;069W;Réaliser des images vectorielles
574.A0;069X;Réaliser des illustrations techniques
574.A0;069Y;Exploiter des techniques d’assemblage de matériaux composites pour des illustrations
574.A0;069Z;Développer des techniques d’illustration
574.A0;06A0;Réaliser des illustrations publicitaires
574.A0;06A1;Créer des illustrations pour des œuvres littéraires
574.A0;06A2;Créer des portraits et des illustrations à des fins éditoriales
574.A0;06A3;Créer des illustrations documentaires et scientifiques
574.A0;06A4;Créer des illustrations spécialisées et des motifs
574.A0;06A5;Gérer son entreprise
574.A0;014K;Représenter des mouvements
574.A0;014Q;Dessiner des personnages
574.A0;014R;Représenter l’anatomie d’un être vivant en action
574.A0;014T;Animer un personnage
574.A0;014U;Analyser un film d’animation en regard des techniques cinématographiques
574.A0;014V;Concevoir des lieux et des accessoires
574.A0;014W;Représenter les émotions et les sentiments d’un sujet
574.A0;014X;Concevoir des personnages
574.A0;014Y;Déterminer les couleurs d’un projet
574.A0;014Z;Dessiner les poses clés et les décors linéaires d’une séquence
574.A0;0150;Animer des personnages en tenant compte de leurs dialogues
574.A0;0152;Concevoir et animer des effets visuels
574.A0;0153;Traiter et assembler des dessins d’animation à l’ordinateur
574.A0;0154;Animer un personnage en trois dimensions
574.A0;0155;Réaliser un dessin animé
574.A0;0156;Assurer son cheminement professionnel
589.C0;02DK;Explorer les professions
589.C0;02DL;Interagir en contexte professionnel
589.C0;02DM;Élaborer la vision artistique d’un projet de production
589.C0;02DN;Déterminer les éléments clés d’un projet de production
589.C0;02DP;Explorer le flux de travaux
589.C0;02DQ;Gérer les fichiers images et les fichiers sons
589.C0;02DR;Effectuer les prises de vue
589.C0;02DS;Effectuer les prises de son
589.C0;02DT;Gérer ses activités professionnelles
589.C0;02DU;Coordonner les activités de préproduction
589.C0;02DV;Coordonner les activités de postproduction
589.C0;02DW;Créer des éléments graphiques et textuels
589.C0;02DX;Créer le montage du projet de production
589.C0;02DY;Effectuer les activités d’éclairage
589.C0;02DZ;Effectuer les activités en régie technique
589.C0;02E0;Coordonner les activités de production
589.C0;02E1;Exploiter une régie automatisée
589.C0;02E2;Coordonner la logistique des lieux de tournage
589.C0;02E3;Composer le montage de finition du projet de production
589.C0;02E4;Créer les effets visuels
582.A1;0157;Analyser la fonction de travail
582.A1;0158;Utiliser un micro-ordinateur, ses périphériques et les réseaux de communication
582.A1;0159;Traiter les textes pour la mise en page-écran
582.A1;015A;Adapter le design de la page-écran
582.A1;015B;Traiter les images fixes
582.A1;015C;Effectuer le montage d'une présentation informatisée
582.A1;015D;Rechercher, organiser et transmettre l'information
582.A1;015F;Exploiter les langages de programmation utilisés en multimédia
582.A1;015G;Adapter l'interactivité des pages-écrans
582.A1;015H;Traiter la bande-son
582.A1;015J;Traiter les images en mouvement
582.A1;015K;Optimiser les médias en fonction de la diffusion
582.A1;015L;Intégrer les médias pour la diffusion en ligne
582.A1;015N;Analyser la conception du projet
582.A1;015P;Programmer des produits multimédias
582.A1;015Q;Contrôler la qualité du produit
582.A1;015R;Intégrer des médias pour la diffusion sur support
582.A1;015S;Vérifier la faisabilité technique du projet
582.A1;015T;Réaliser un produit multimédia en ligne
582.A1;015U;Réaliser un produit multimédia sur support
582.A1;015V;Effectuer le montage d'animations
582.A1;015W;Effectuer le montage des médias à l'aide de logiciels d'intégration
LEA.DQ;KP46;Interagir dans un contexte professionnel 
LEA.DQ;KP47;Appliquer des méthodes statistiques 
LEA.DQ;KP48;Utiliser des langages de programmation 
LEA.DQ;KP49;Interagir et communiquer dans différentes situations de travail 
LEA.DQ;KP50;Appliquer des mesures préventives relatives à la sécurité des informations 
LEA.DQ;KP51;Analyser un problème 
LEA.DQ;KP52;Créer et concevoir des bases de données 
LEA.DQ;KP53;Exploiter un système de gestion de base de données 
LEA.DQ;KP54;Résoudre un problème
